out,interaction_type,in
KAT6A,physical association,RPL10
SYMPK,physical association,KAT6A
STX8,physical association,VAMP3
STX8,physical association,NSF
ELAVL1,colocalization,ABCD1
ELAVL1,physical association,FN1
ELAVL1,physical association,VCAM1
ELAVL1,physical association,WWOX
ELAVL1,physical association,UBE2A
SCLY,colocalization,REXO2
USP14,physical association,AR
USP14,colocalization,PSMC3
PTGER4,physical association,ARRB1
KAT6A,direct interaction,H3-4
H3-4,direct interaction,RAG1
WDR5,physical association,H3-4
CTBP1,direct interaction,H3-4
PHF1,association,H3-4
H3-4,direct interaction,TRPM7
H4C6,physical association,RAD21
U2SURP,physical association,CUL3
U2SURP,physical association,MIR107
U2SURP,physical association,MIR25
U2SURP,direct interaction,DDX42
U2SURP,physical association,MIR15B
LMO7,physical association,PPP1CB
PRKAR1A,physical association,GSK3B
PRKAR1A,physical association,IFI16
PRKAR1A,physical association,MTOR
GRK2,physical association,CCR4
GRK2,physical association,GIT2
GNG5,direct interaction,GNB3
ATP5MF,physical association,PRKN
B2M,physical association,CFTR
NUP42,physical association,NCBP1
RPL26L1,colocalization,RPL13
RPL26L1,physical association,MAGOH
RPL26L1,physical association,DGCR8
RPL26L1,physical association,NXF2
RPL26L1,physical association,NUP160
POLD4,direct interaction,POLD2
REL,direct interaction,POLE2
BTRC,physical association,REL
REL,direct interaction,FHIT
REL,physical association,EP300
TGFBR3,direct interaction,NRP1
POLR2I,colocalization,PSMB9
MAPK14,direct interaction,CDC25B
MAPK14,direct interaction,CDC25C
MAPK14,physical association,LIPG
MAPK14,physical association,ATF2
MAPK14,physical association,TAB1
MAPK14,direct interaction,CEP164
CAPZB,physical association,ESR1
CAPZB,physical association,PPP1CB
MYH11,physical association,CAPZB
CAPZB,physical association,BLNK
SOS1,direct interaction,NCK1
SOS1,physical association,FRS2
PRDX6,physical association,YAP1
PRDX6,direct interaction,HNF4G
PRDX6,direct interaction,GPX4
PRDX6,direct interaction,PRDX6
RAB4A,physical association,LAMP1
FLOT2,physical association,PTPN1
FLOT2,physical association,ATP6V1B1
GZMA,direct interaction,GZMA
PML,physical association,NCOR1
PML,physical association,PYCARD
PML,colocalization,MAF
PML,direct interaction,DAXX
PML,direct interaction,CCNT1
PML,physical association,AXIN1
PML,physical association,SKIL
PML,direct interaction,CDK6
PML,physical association,PSME3
ENO1,physical association,FBXW7
ENO1,colocalization,ABAT
ENO1,physical association,WWOX
ENO1,physical association,H2AX
ENO1,direct interaction,CLK1
HACD1,physical association,SLC15A1
GMPPB,colocalization,WDR82
KAT8,direct interaction,TP53
KAT8,direct interaction,PLAU
PDHB,colocalization,PDHA1
PDHB,colocalization,EIF5
NEFH,physical association,ASAH1
GNB1,physical association,GNG11
GNB1,direct interaction,TBXA2R
GNB1,physical association,PIK3R1
GNB1,association,PDCL
GNB1,physical association,MTOR
COX17,physical association,COX14
MDM4,physical association,YWHAH
MDM4,direct interaction,CHEK1
MDM4,association,MDM4
MANBA,physical association,FBXO6
F2R,physical association,CAV1
KEAP1,physical association,RFC5
RFC5,physical association,ZNF746
RFC5,colocalization,RFC4
PPP1CA,colocalization,OGT
PPP1CA,direct interaction,SMARCB1
PPP1CA,physical association,NR3C2
PPP1CA,physical association,SYNPO
PPP1CA,physical association,HDAC5
PPP1CA,physical association,PPP1R15A
PPP1CA,physical association,BAD
PAICS,physical association,EIF6
PAICS,physical association,NTRK1
PAICS,physical association,PSMC4
TRADD,physical association,CAV1
TRADD,physical association,EDAR
IST1,physical association,NF2
SIPA1L1,physical association,NADK
